@1@H13CO+@K@J
#31           # Number of levels
#K            # Energy Unit
#1            # Number of quantum number
#J            # Rotation
# n      g       E(K)                  OP    J
#---data read without format ----------#------ READ WITH FORMAT -----------
 1     1.0     0.000000                n      0                           !
 2     3.0     4.163533                n      1                           !
 3     5.0    12.490598                n      2                           !
 4     7.0    24.980907                n      3                           !
 5     9.0    41.634174                n      4                           !
 6    11.0    62.450110                n      5                           !
 7    13.0    87.428140                n      6                           !
 8    15.0   116.567976                n      7                           !
 9    17.0   149.868755                n      8                           !
10    19.0   187.329900                n      9                           !
11    21.0   228.950550                n     10                           !
12    23.0   274.729697                n     11                           !
13    25.0   324.666477                n     12                           !
14    27.0   378.759740                n     13                           !
15    29.0   437.008334                n     14                           !
16    31.0   499.410964                n     15                           !
17    33.0   565.966337                n     16                           !
18    35.0   636.673012                n     17                           !
19    37.0   711.529408                n     18                           !
20    39.0   790.533941                n     19                           !
21    41.0   873.684742                n     20                           !
22    43.0   960.980227                n     21                           !
23    45.0  1052.418382                n     22                           !
24    47.0  1147.997337                n     23                           !
25    49.0  1247.714790                n     24                           !
26    51.0  1351.568726                n     25                           !
27    53.0  1459.556844                n     26                           !
28    55.0  1571.676842                n     27                           !
29    57.0  1687.926272                n     28                           !
30    59.0  1808.302547                n     29                           !
31    61.0  1932.803219                n     30                           !
#---data read without format ----------#------ READ WITH FORMAT -----------
#Ref : Lambda database - https://home.strw.leidenuniv.nl/~moldata/datafiles/h13co+@xpol.dat
#      Data downloaded on the 3 february 2021
#      Data in Lamda database come from CDS
